 For beta=   0.500000000000000       Condensate=  -4.326706548596349E-009
           2           6   55.3761386525595        1.74332266935193     
           2           7   170.833587244582        2.23257326050377     
           2           8   507.532024547842        2.70546345081306     
           2           9   1464.91438037880        3.16581224229036     
           2          10   4139.42030813912        3.61693952599921     
           2          11   11521.9625525787        4.06152645939642     
           2          12   31855.0308153869        4.50317802953880     
           2          13   87701.0483757947        4.94300478494074     
           2          14   233615.113267630        5.36850093517161     
           2          15   579095.517578964        5.76275020334081     
           2          16   1522291.81857893        6.18249791330867     
           2          17   8285837.53660112        6.91833641367753     
           2          18   18928272.6578780        7.27711098325168     
           2          19   51178843.1042137        7.70909046445201     
           2          20   9876333.52155664        6.99459574753429     
           2          21   25666719.5938782        7.40937036601018     
           2          22   11415812.4037246        7.05750682339525     
           2          23   9110337.13047907        6.95953444845463     
           2          24   107392895.323989        8.03097555116197     
           2          25   14861819.7933723        7.17207199097443     
           2          26   55246193.4715088        7.74230235998122     
           2          27   12397525.5865013        7.09333501327812     
           2          28   10958230.5337492        7.03974043266394     
           2          29   177379383.486801        8.24890314109756     
           2          30   18965289.2596837        7.27795947097377     
           2          31   168591758.767895        8.22683634129048     
           2          32   13312895.9034364        7.12427253617220     
           2          33   12963803.2490680        7.11273243114662     
           2          34   452197041.291408        8.65532771644583     
           2          35   23775523.3008987        7.37613008456598     
           2          36   285904516.681938        8.45622101633927     
           2          37   14079246.3798794        7.14857940893825     
           2          38   15121212.9469340        7.17958662946096     
           2          39   1791729372.21931        9.25327241323484     
           2          40   29759010.7825197        7.47361849075713     
           2          41   90637923.0173114        7.95730994504096     
           2          42   14778937.2346858        7.16964320471466     
           2          43   17488229.4061527        7.24274584160773     
           2          44   370150026.688184        8.56837778503128     
           2          45   37680948.4063200        7.57612182518368     
           2          46   58217661.5430578        7.76505475693683     
           2          47   15463971.9488286        7.18932105322433     
           2          48   20131613.7961597        7.30387859032208     
           2          49   233358960.566807        8.36802448167287     
           2          50   48999950.4451342        7.69019564081595     
           2          51   44941188.1789710        7.65264455034277     
           3           1   4.44500795040056       0.647872542091836     
           3           2   1.50252852982962       0.176822727084055     
           3           3  0.000000000000000E+000  0.000000000000000E+000
           3           4   1.50252852982962       0.176822727084055     
           3           5   4.44500795040056       0.647872542091836     
           3           6   16.6343626933478        1.22100616654753     
           3           7   55.3761386525595        1.74332266935193     
           3           8   170.833587244582        2.23257326050377     
           3           9   507.532024547842        2.70546345081306     
           3          10   1464.91438037880        3.16581224229036     
           3          11   4139.42030813912        3.61693952599921     
           3          12   11521.9625525787        4.06152645939642     
           3          13   31855.0308153869        4.50317802953880     
           3          14   87701.0483757947        4.94300478494074     
           3          15   233615.113267630        5.36850093517161     
           3          16   579095.517578964        5.76275020334081     
           3          17   1522291.81857893        6.18249791330867     
           3          18   8285837.53660112        6.91833641367753     
           3          19   18928272.6578780        7.27711098325168     
           3          20   51178843.1042137        7.70909046445201     
           3          21   9876333.52155664        6.99459574753429     
           3          22   25666719.5938782        7.40937036601018     
           3          23   11415812.4037246        7.05750682339525     
           3          24   9110337.13047907        6.95953444845463     
           3          25   107392895.323989        8.03097555116197     
           3          26   14861819.7933723        7.17207199097443     
           3          27   55246193.4715088        7.74230235998122     
           3          28   12397525.5865013        7.09333501327812     
           3          29   10958230.5337492        7.03974043266394     
           3          30   177379383.486801        8.24890314109756     
           3          31   18965289.2596837        7.27795947097377     
           3          32   168591758.767895        8.22683634129048     
           3          33   13312895.9034364        7.12427253617220     
           3          34   12963803.2490680        7.11273243114662     
           3          35   452197041.291408        8.65532771644583     
           3          36   23775523.3008987        7.37613008456598     
           3          37   285904516.681938        8.45622101633927     
           3          38   14079246.3798794        7.14857940893825     
           3          39   15121212.9469340        7.17958662946096     
           3          40   1791729372.21931        9.25327241323484     
           3          41   29759010.7825197        7.47361849075713     
           3          42   90637923.0173114        7.95730994504096     
           3          43   14778937.2346858        7.16964320471466     
           3          44   17488229.4061527        7.24274584160773     
           3          45   370150026.688184        8.56837778503128     
           3          46   37680948.4063200        7.57612182518368     
           3          47   58217661.5430578        7.76505475693683     
           3          48   15463971.9488286        7.18932105322433     
           3          49   20131613.7961597        7.30387859032208     
